threshold,risk_pct,tp_rr,label
0.5,0.25,1.5,sweep_th0.5_risk0.25_tp1.5
0.5,0.25,2.0,sweep_th0.5_risk0.25_tp2.0
0.5,0.5,1.5,sweep_th0.5_risk0.5_tp1.5
0.5,0.5,2.0,sweep_th0.5_risk0.5_tp2.0
0.5,0.75,1.5,sweep_th0.5_risk0.75_tp1.5
0.5,0.75,2.0,sweep_th0.5_risk0.75_tp2.0
0.5,1.0,1.5,sweep_th0.5_risk1.0_tp1.5
0.5,1.0,2.0,sweep_th0.5_risk1.0_tp2.0
0.55,0.25,1.5,sweep_th0.55_risk0.25_tp1.5
0.55,0.25,2.0,sweep_th0.55_risk0.25_tp2.0
0.55,0.5,1.5,sweep_th0.55_risk0.5_tp1.5
0.55,0.5,2.0,sweep_th0.55_risk0.5_tp2.0
0.55,0.75,1.5,sweep_th0.55_risk0.75_tp1.5
0.55,0.75,2.0,sweep_th0.55_risk0.75_tp2.0
0.55,1.0,1.5,sweep_th0.55_risk1.0_tp1.5
0.55,1.0,2.0,sweep_th0.55_risk1.0_tp2.0
0.6,0.25,1.5,sweep_th0.6_risk0.25_tp1.5
0.6,0.25,2.0,sweep_th0.6_risk0.25_tp2.0
0.6,0.5,1.5,sweep_th0.6_risk0.5_tp1.5
0.6,0.5,2.0,sweep_th0.6_risk0.5_tp2.0
0.6,0.75,1.5,sweep_th0.6_risk0.75_tp1.5
0.6,0.75,2.0,sweep_th0.6_risk0.75_tp2.0
0.6,1.0,1.5,sweep_th0.6_risk1.0_tp1.5
0.6,1.0,2.0,sweep_th0.6_risk1.0_tp2.0
0.65,0.25,1.5,sweep_th0.65_risk0.25_tp1.5
0.65,0.25,2.0,sweep_th0.65_risk0.25_tp2.0
0.65,0.5,1.5,sweep_th0.65_risk0.5_tp1.5
0.65,0.5,2.0,sweep_th0.65_risk0.5_tp2.0
0.65,0.75,1.5,sweep_th0.65_risk0.75_tp1.5
0.65,0.75,2.0,sweep_th0.65_risk0.75_tp2.0
0.65,1.0,1.5,sweep_th0.65_risk1.0_tp1.5
0.65,1.0,2.0,sweep_th0.65_risk1.0_tp2.0
